"","ref","name","TIPUS_VIA","NOM_CARRER","addr:housenumber","addr:postcode","addr:city","LATITUD","LONGITUD","contact:phone","description","amenity","social_facility:for","source","source:date"
"1",99400010755,"Punt d'Informació i Atenció a les Dones de l'Eixample",NA,"Calàbria",264,8029,"BARCELONA",41.387183,2.145349,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"2",99400010755,"Punt d'Informació i Atenció a les Dones de l'Eixample",NA,"Calàbria",264,8029,"BARCELONA",41.387183,2.145349,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"3",99400010755,"Punt d'Informació i Atenció a les Dones de l'Eixample",NA,"Calàbria",264,8029,"BARCELONA",41.387183,2.145349,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"4",99400026680,"Punt d'Informació i Atenció a les Dones d'Horta-Guinardó",NA,"Arenys",75,8035,"BARCELONA",41.42255,2.14465,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"5",99400026680,"Punt d'Informació i Atenció a les Dones d'Horta-Guinardó",NA,"Arenys",75,8035,"BARCELONA",41.42255,2.14465,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"6",99400029777,"Punt d'Informació i Atenció a les Dones de Les Corts","Pl","Comas",18,8028,"BARCELONA",41.385644,2.12978,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"7",99400029777,"Punt d'Informació i Atenció a les Dones de Les Corts","Pl","Comas",18,8028,"BARCELONA",41.385644,2.12978,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"8",99400029783,"Punt d'Informació i Atenció a les Dones de Nou Barris","Pl","Major de Nou Barris",1,8042,"BARCELONA",41.436844,2.171238,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"9",99400029783,"Punt d'Informació i Atenció a les Dones de Nou Barris","Pl","Major de Nou Barris",1,8042,"BARCELONA",41.436844,2.171238,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"10",99400097445,"Punt d'Informació i Atenció a les Dones de Gràcia","Pl","Vila de Gràcia",2,8012,"BARCELONA",41.4,2.157879,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"11",99400097445,"Punt d'Informació i Atenció a les Dones de Gràcia","Pl","Vila de Gràcia",2,8012,"BARCELONA",41.4,2.157879,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"12",99400098262,"Punt d'Informació i Atenció a les Dones de Sant Martí","G.V.","Corts Catalanes",837,8018,"BARCELONA",41.404946,2.188469,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"13",99400098262,"Punt d'Informació i Atenció a les Dones de Sant Martí","G.V.","Corts Catalanes",837,8018,"BARCELONA",41.404946,2.188469,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"14",99400146163,"Punt d'Informació i Atenció a les Dones de Sants-Montjuïc","Pas","Fructuós Gelabert",2,8014,"BARCELONA",41.375227,2.136551,936197311,"Horari per demanar<br> cita prèvia presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"15",99400146163,"Punt d'Informació i Atenció a les Dones de Sants-Montjuïc","Pas","Fructuós Gelabert",2,8014,"BARCELONA",41.375227,2.136551,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"16",99400169396,"Punt d'Informació i Atenció a les Dones de Sarrià-Sant Gervasi","Pl","Consell de la Vila",7,8034,"BARCELONA",41.399129,2.12142,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"17",99400169396,"Punt d'Informació i Atenció a les Dones de Sarrià-Sant Gervasi","Pl","Consell de la Vila",7,8034,"BARCELONA",41.399129,2.12142,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"18",99400169820,"Punt d'Informació i Atenció a les Dones de Ciutat Vella",NA,"Nou de la Rambla",45,8001,"BARCELONA",41.377328,2.172506,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"19",99400169820,"Punt d'Informació i Atenció a les Dones de Ciutat Vella",NA,"Nou de la Rambla",45,8001,"BARCELONA",41.377328,2.172506,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"20",99400179083,"Punt d'Informació i Atenció a les Dones de Sant Andreu",NA,"Foradada",36,8033,"BARCELONA",41.45165,2.191212,936197311,"Horari per demanar<br>cita prèvia<br> presencialment","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"21",99400179083,"Punt d'Informació i Atenció a les Dones de Sant Andreu",NA,"Foradada",36,8033,"BARCELONA",41.45165,2.191212,936197311," ","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
"22",99400399663,"Punt d'Informació i Atenció a les Dones de Nou Barris Zona Nord","Av","Rasos de Peguera",25,8033,"BARCELONA",41.461167,2.17797,936197311,"Horari per demanar cita prèvia presencialment<br><br>","social_facility","woman","Ajuntament de Barcelona","2019-01-29"
